name,minimum level,maximum level,fecondity,pallu refresh type,night only,refresh area
"Mian Youyou",1,14,1470,"Creeps",False,"grassland"
"Naughty cat",1,13,1460,"Creeps",False,"grassland"
"Pipi Chicken",1,13,1500,"Creeps",False,"grassland"
"green leaf rat",2,13,1430,"Creeps",False,"islands"
"tinder fox",2,18,1400,"Creeps",False,"islands"
"surf duck",2,13,1330,"Creeps",False,"islands"
"Volt Meow",3,17,1410,"Creeps",False,"grassland"
"Neolepithecus",2,13,1250,"Creeps",False,"islands"
"Fire Deer",2,13,1155,"Creeps",False,"islands"
"Keimaru",2,45,1350,"Creeps",False,"grassland"
"ice agouti",10,10,1370,"Creeps",False,"grassland"
"Ye Ni Ni (Special)",2,14,1240,"Creeps",False,"islands"
"Ye NiNi",2,14,1240,"Creeps",False,"islands"
"Tamamo fox",3,13,1450,"Creeps",False,"grassland"
"Tikar",3,14,1390,"Creeps",True,"grassland"
"pot elephant",1,13,1390,"Creeps",True,"islands"
"Look at the devil",3,14,1490,"Creeps",False,"grassland"
"Miruffy",2,14,1380,"Creeps",True,"grassland"
"sleep demon",3,15,1380,"Creeps",True,"islands"
"sage pig",2,13,1455,"Creeps",False,"grassland"
"Lunati",3,19,1455,"Creeps",False,"islands"
"Escape Rat",5,40,1230,"Creeps",True,"grassland"
"squid",5,13,1130,"Creeps",False,"islands"
"ice cream",30,45,1180,"Creeps",True,"islands"
"Meowster",5,15,1220,"Creeps",False,"dungeon"
"Rumiel",2,13,1290,"Creeps",False,"dungeon"
"hunting wolves",4,15,1440,"Creeps",False,"Snow"
"Fried egg bird",11,40,1480,"Creeps",False,"dungeon"
"Bona Rabbit",10,29,870,"Creeps",False,"grassland"
"Boba Cow",10,19,1060,"Creeps",False,"islands"
"Thorn Fairy",16,29,1340,"Creeps",False,"grassland"
"red shark",25,38,910,"Creeps",False,"grassland"
"Hanging spirit",14,40,1320,"Creeps",False,"forest"
"Icebound Spirit",33,35,1100,"Creeps",False,"volcano"
"Ye Panda",25,29,1090,"Creeps",False,"forest"
"Lei Panda",31,37,1422,"Creeps",True,"Snow"
"bush sheep",6,41,1420,"Creeps",False,"grassland"
"Melupa",5,17,430,"Creeps",False,"forest"
"Zixia Deer",6,13,1190,"Creeps",False,"grassland"
"Balrog Sheep",29,38,900,"Creeps",False,"game reserve"
"Blazing Ox",9,39,420,"Creeps",False,"grassland"
"Pa Pa Pa Catfish",14,38,1310,"Creeps",False,"islands"
"Black Crow Hermit",12,40,580,"Creeps",False,"game reserve"
"Hot-blooded lizard",15,38,590,"Creeps",False,"volcano"
"punk lizard",29,40,490,"Creeps",False,"forest"
"Moonscythe Demon",12,29,790,"Creeps",False,"grassland"
"mountain shooter",30,40,1080,"Creeps",True,"grassland"
"Iron Fist Ape",18,29,1120,"Creeps",False,"volcano"
"knight bee",20,25,1140,"Creeps",True,"volcano"
"queen bee",28,31,950,"Creeps",True,"grassland"
"Laughing Nightmare Cat",17,29,1030,"Creeps",False,"grassland"
"Mao duster",7,27,1000,"Creeps",False,"desert"
"thunder wildebeest",7,31,1070,"Creeps",False,"dungeon"
"blowing snow fox",28,32,1070,"Creeps",False,"forest"
"fire unicorn",29,38,330,"Creeps",False,"forest"
"Thunder Boy",29,40,680,"Creeps",False,"grassland"
"Mystia",32,45,760,"Creeps",False,"forest snow"
"Thunder Guanlong",35,47,360,"Creeps",False,"volcano"
"water-sliding snake",14,26,240,"Creeps",False,"dungeon"
"quicksand snake",30,40,880,"Creeps",False,"forest snow"
"Soul Eater",36,45,740,"Creeps",False,"desert"
"Rock Crusher Turtle",17,40,830,"Creeps",True,"forest snow"
"cat bat monster",5,45,1210,"Creeps",False,"desert"
"Fenggelong",10,40,810,"Creeps",False,"desert"
"Frost Song Dragon",36,45,550,"Creeps",False,"desert"
"Thunderbird",29,40,1150,"Creeps",True,"Snow"
"dark witch cat",20,29,750,"Creeps",True,"islands"
"Flame Witch Fox",16,38,940,"Creeps",True,"grassland"
"spring rabbit",35,45,1405,"Creeps",False,"volcano"
"Verita",18,38,660,"Creeps",False,"grassland"
"silk moth",36,45,620,"Creeps",True,"Snow"
"Shui Linger",9,19,380,"Creeps",False,"volcano"
"Bihailong",17,22,700,"Creeps",False,"dungeon"
"Ice Thorn Beast",36,45,1160,"Creeps",False,"volcano"
"Hellfire King",34,38,1050,"Creeps",False,"game reserve"
"Pecorone",15,20,450,"Creeps",False,"Snow"
"Parker",31,31,540,"Creeps",False,"game reserve"
"Allother",30,30,1260,"Creeps",False,"grassland"
"Lian Lilong",17,23,1270,"Creeps",False,"volcano"
"Frost Beast",42,45,130,"Creeps",False,"Snow"
"Lava Beast",34,38,710,"Creeps",False,"volcano"
"King Melupa",23,45,670,"Creeps",True,"volcano"
"Ice Emperor Melpa",46,46,280,"Creeps",False,"grassland"
"Green Moss Velvet",38,45,860,"Creeps",False,"grassland"
"White Velvet Snow Monster",41,45,780,"Creeps",False,"game reserve"
"Kaigres",30,45,230,"Creeps",False,"dungeon"
"Night Mephit",20,31,320,"Creeps",False,"volcano"
"Thunderbird",24,28,300,"Creeps",False,"islands"
"Demon Dragon",40,48,290,"Creeps",False,"Snow"
"Dark Armored Scorpion",40,45,460,"Creeps",False,"Snow"
"Qingque",42,45,1010,"Creeps",False,"dungeon"
"Lightning Bear",18,22,10,"Creeps",False,"game reserve"
"lily queen",40,45,190,"Creeps",True,"forest"
"black moon queen",49,49,150,"Creeps",False,"game reserve"
"Horus",40,45,260,"Creeps",False,"game reserve"
"Heterogeneous Griffin",40,45,315,"Creeps",False,"game reserve"
"Chaos Knight",50,50,50,"Creeps",False,"desert"
"Vortex Dragon",50,50,200,"Creeps",False,"game reserve"
"King Keimaru",15,22,520,"Secret Domain BOSS",False,"grassland"
"electric rat",3,13,1360,"event",False,"Random events"
"Sharkboy",20,29,1280,"event",False,"Random events"
"Marshmallow",14,19,1420,"Random dungeon boss",False,"dungeon"
"Only a deer",18,22,390,"Wild BOSS",False,"grassland"
"Swift Falcon",9,40,1190,"Random dungeon boss",False,"dungeon"
"Ji Xiaotu",2,19,930,"Random dungeon boss",False,"dungeon"
"Dark Demon Sheep",40,45,890,"Wild BOSS",False,"grassland"
"Huan Yue Butterfly",18,29,920,"Random dungeon boss",False,"dungeon"
"Tianqinniao",9,29,895,"Random dungeon boss",False,"dungeon"
"Feather Archer",21,29,895,"Wild BOSS",False,"grassland"
"Dad Mao",11,32,1020,"event",False,"Random events"
"Whirling Weasel",11,45,1040,"event",False,"Random events"
"evil unicorn",32,38,510,"Wild BOSS",False,"grassland"
"Deer in severe winter",25,45,1300,"Wild BOSS",False,"grassland"
"thunder dog",30,40,410,"Wild BOSS",False,"grassland"
"Blue Flame Wolf",28,32,800,"Wild BOSS",False,"grassland"
"Corolla dragon",10,39,360,"Wild BOSS",False,"grassland"
"fraternity lizard",18,40,1110,"Secret Domain BOSS",False,"grassland"
"Rong Yan Niang",9,38,820,"Random dungeon boss",False,"dungeon"
"Wave Blade Samurai",23,45,560,"Random dungeon boss",False,"dungeon"
"Flamingo",34,38,850,"Random dungeon boss",False,"dungeon"
"Faerie Dragon",18,45,640,"Secret Domain BOSS",False,"grassland"
"Huo Linger",9,38,220,"Wild BOSS",False,"grassland"
"Hell King",33,38,990,"Secret Domain BOSS",False,"forest"
"Hualina",18,28,500,"Wild BOSS",False,"grassland"
"snow mammoth",41,45,270,"Secret Domain BOSS",False,"grassland"
"Mammoth",30,40,840,"Wild BOSS",False,"grassland"
"Cloud sea deer",15,45,230,"Random dungeon boss",False,"dungeon"
"Tianyulong",23,45,440,"Wild BOSS",False,"Snow"
"Flame Glory",40,49,470,"Wild BOSS",False,"grassland"
"Anubis",47,47,480,"Wild BOSS",False,"grassland"
"Sea-covering dragon",45,45,340,"Secret Domain BOSS",False,"forest"
"Teng Yanlong",40,45,980,"Wild BOSS",False,"grassland"
"Suzaku",40,45,350,"Secret Domain BOSS",False,"grassland"
"Pollux",40,45,570,"Wild BOSS",False,"grassland"
"Knight of Light",50,50,310,"Wild BOSS",False,"grassland"
"Winter Caller",50,50,30,"Random dungeon boss",False,"dungeon"
